temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk
12.7,-4.5,-10.7,33.48,0.0,0.0,0.0,0.0,6.68,29.9,17.9,284.0,1023.5,6.1,9.9,6.030797308087145,0.0,0.0,0.0
12.7,-2.5,-8.8,36.74,0.0,0.0,0.0,0.0,6.66,25.9,13.7,304.0,1024.4,6.1,9.9,6.031025436295198,0.0,0.0,0.0
11.6,-5.8,-9.7,38.17714285714286,0.0,0.0,0.0,0.0,6.64,28.8,17.6,305.0,1025.0,6.1,9.9,6.031253564503251,0.0,0.0,0.0
11.2,-3.8,-8.8,39.614285714285714,0.0,0.0,0.0,0.0,6.63,24.0,12.8,294.0,1026.4,6.1,9.9,6.031481692711304,0.0,0.0,0.0
10.3,-5.2,-10.3,41.05142857142857,0.0,0.0,0.0,0.0,6.61,27.7,13.2,298.0,1028.2,6.1,9.9,6.031709820919357,0.0,0.0,0.0
9.2,-7.0,-10.0,42.48857142857143,0.0,0.0,0.0,0.0,6.59,27.0,14.0,304.0,1028.4,0.0,9.9,6.03193794912741,0.0,0.0,0.0
8.5,-8.4,-10.0,43.925714285714285,0.0,0.0,0.0,0.0,6.58,23.3,14.9,310.0,1028.9,0.0,9.9,6.032166077335463,0.0,0.0,0.0
8.3,-8.7,-9.2,45.36285714285714,0.0,0.0,0.0,0.0,6.56,23.2,14.8,300.0,1029.6,0.0,9.9,6.032394205543516,0.0,0.0,0.0
7.5,-7.1,-8.6,46.8,0.0,0.0,0.0,0.0,6.54,31.9,10.6,302.0,1030.5,0.0,9.9,6.0326223337515685,0.0,0.0,0.0
7.3,-8.7,-7.8,49.16,0.0,0.0,0.0,0.0,6.53,29.2,12.7,294.0,1030.6,4.4,9.9,6.0328504619596215,0.0,0.0,0.0
6.6,-9.3,-7.5,51.6,0.0,0.0,0.0,0.0,6.51,22.8,12.2,303.0,1030.7,4.4,9.9,6.033078590167674,0.0,0.0,0.0
6.6,-10.1,-7.3,52.16,0.0,0.0,0.0,0.0,6.49,23.1,13.5,312.0,1031.2,0.0,9.9,6.033306718375727,0.0,0.0,0.0
6.4,-9.5,-6.8,53.77,0.0,0.0,0.0,0.0,6.48,23.4,12.1,298.0,1032.6,0.0,9.9,6.03353484658378,0.0,0.0,0.0
6.2,-8.6,-6.7,54.47,0.0,0.0,0.0,0.0,6.46,19.4,10.5,310.0,1033.6,0.0,9.9,6.033762974791833,0.0,0.0,0.0
5.5,-8.1,-6.7,56.31,0.0,0.0,0.0,0.0,6.44,21.2,8.7,299.0,1033.6,0.0,9.9,6.033991102999886,0.0,0.0,0.0
5.5,-6.9,-6.5,56.91,0.0,0.0,0.0,0.0,6.43,23.0,7.4,306.0,1033.9,0.0,9.9,6.034219231207939,0.0,0.0,0.0
5.3,-6.2,-6.7,56.83,0.0,0.0,0.0,0.0,6.41,22.516666666666666,6.5,281.0,1034.9,10.5,9.9,6.034447359415992,0.0,0.0,0.0
5.5,-6.6,-6.416666666666667,56.31,0.0,0.0,0.0,0.0,6.39,22.03333333333333,7.1,299.0,1035.2,6.1,9.9,6.034675487624044,0.0,0.0,0.0
6.7,-5.4,-6.133333333333334,53.97,0.0,0.0,0.0,0.0,6.37,21.55,7.4,292.0,1036.5,6.1,9.9,6.034903615832097,0.0,0.0,0.0
8.4,2.2,-5.85,50.37,0.0,0.0,0.0,0.0,6.35,21.066666666666663,3.2,328.0,1037.1,6.1,9.9,6.03513174404015,0.0,0.0,0.0
99999999.0,3.7,-5.566666666666666,47.19,0.0,0.0,0.0,0.0,6.34,20.58333333333333,5.3,298.0,1036.3,10.5,9.9,6.035359872248203,0.0,0.0,0.0
12.5,5.199999999999999,-5.283333333333333,43.74,0.0,0.0,0.0,0.0,6.32,20.1,3.9,307.0,1034.6,10.5,9.9,6.035588000456256,0.0,0.0,0.0
14.4,6.699999999999999,-5.0,41.02,0.0,0.0,0.0,0.0,6.3,19.616666666666667,6.7,277.0,1034.0,15.6,9.9,6.035816128664309,0.0,0.0,0.0
16.3,8.2,-4.2,39.33,0.0,0.0,0.0,0.0,6.28,19.133333333333333,5.3,204.0,1033.1,15.6,9.9,6.036044256872362,0.0,0.0,0.0
17.1,8.0,-3.2,39.78,0.0,0.0,0.0,0.0,6.26,18.65,6.4,256.0,1032.3,19.2,9.9,6.036272385080415,0.0,0.0,0.0
17.1,7.3,-2.2,41.83,0.0,0.0,0.0,0.0,6.24,18.166666666666664,7.3,220.0,1032.7,34.2,9.9,6.036500513288468,0.0,0.0,0.0
17.3,7.5,-1.9,42.02,0.0,0.0,0.0,0.0,6.22,17.683333333333334,7.3,227.0,1032.0,30.4,9.9,6.036728641496521,0.0,0.0,0.0
