Time Stamp,Time Zone,Name,PTID,Load
2020-10-21 04:00:00,EDT,WEST,61752,1371.4818
2020-10-21 04:00:00,EDT,GENESE,61753,855.6802
2020-10-21 04:00:00,EDT,CENTRL,61754,1320.0912
2020-10-21 04:00:00,EDT,CAPITL,61757,1065.4366
2020-10-21 04:00:00,EDT,HUD VL,61758,719.2672
2020-10-21 04:00:00,EDT,DUNWOD,61760,429.3143
2020-10-21 05:00:00,EDT,DUNWOD,61760,437.5364
2020-10-21 05:00:00,EDT,CAPITL,61757,1098.6797
2020-10-21 05:00:00,EDT,GENESE,61753,878.3674
2020-10-21 05:00:00,EDT,CENTRL,61754,1417.0304
2020-10-21 05:00:00,EDT,LONGIL,61762,1550.4187
2020-10-21 05:00:00,EDT,HUD VL,61758,739.4786
2020-10-21 05:00:00,EDT,MILLWD,61759,231.8861
2020-10-21 05:00:00,EDT,N.Y.C.,61761,3972.0964
2020-10-21 05:00:00,EDT,NORTH,61755,505.3307
2020-10-21 05:00:00,EDT,WEST,61752,1381.2983
2020-10-21 05:00:00,EDT,MHK VL,61756,686.0999
2020-10-21 06:00:00,EDT,LONGIL,61762,1680.6467
2020-10-21 06:00:00,EDT,WEST,61752,1481.8257
2020-10-21 06:00:00,EDT,NORTH,61755,527.0356
2020-10-21 06:00:00,EDT,N.Y.C.,61761,4234.227
2020-10-21 06:00:00,EDT,MILLWD,61759,263.539
2020-10-21 06:00:00,EDT,MHK VL,61756,774.7141
2020-10-21 06:00:00,EDT,GENESE,61753,949.4762
2020-10-21 06:00:00,EDT,DUNWOD,61760,467.9529
2020-10-21 06:00:00,EDT,CENTRL,61754,1514.8822
2020-10-21 06:00:00,EDT,CAPITL,61757,1190.5245
2020-10-21 06:00:00,EDT,HUD VL,61758,794.6257
2020-10-21 07:00:00,EDT,MILLWD,61759,296.563
2020-10-21 07:00:00,EDT,N.Y.C.,61761,4670.3623
2020-10-21 07:00:00,EDT,HUD VL,61758,853.4257
2020-10-21 07:00:00,EDT,WEST,61752,1578.8685
2020-10-21 07:00:00,EDT,NORTH,61755,555.2532
2020-10-21 07:00:00,EDT,MHK VL,61756,861.654
2020-10-21 07:00:00,EDT,GENESE,61753,1042.9163
2020-10-21 07:00:00,EDT,DUNWOD,61760,515.7421
2020-10-21 07:00:00,EDT,CENTRL,61754,1663.1692
2020-10-21 07:00:00,EDT,CAPITL,61757,1296.373
2020-10-21 07:00:00,EDT,LONGIL,61762,1864.685
2020-10-21 08:00:00,EDT,WEST,61752,1664.5675
2020-10-21 08:00:00,EDT,CAPITL,61757,1369.7063
2020-10-21 08:00:00,EDT,CENTRL,61754,1744.503
2020-10-21 08:00:00,EDT,DUNWOD,61760,578.6853
2020-10-21 08:00:00,EDT,GENESE,61753,1121.9296
2020-10-21 08:00:00,EDT,HUD VL,61758,953.7227
2020-10-21 08:00:00,EDT,LONGIL,61762,1999.0298
2020-10-21 08:00:00,EDT,MHK VL,61756,874.0484
2020-10-21 08:00:00,EDT,MILLWD,61759,314.9815
2020-10-21 08:00:00,EDT,N.Y.C.,61761,5081.831
2020-10-21 08:00:00,EDT,NORTH,61755,566.848
2020-10-21 09:00:00,EDT,NORTH,61755,578.9246
2020-10-21 09:00:00,EDT,N.Y.C.,61761,5373.0117
2020-10-21 09:00:00,EDT,WEST,61752,1647.4655
2020-10-21 09:00:00,EDT,MILLWD,61759,333.6454
2020-10-21 09:00:00,EDT,CAPITL,61757,1385.8193
2020-10-21 09:00:00,EDT,HUD VL,61758,982.7437
2020-10-21 09:00:00,EDT,GENESE,61753,1154.5272
2020-10-21 09:00:00,EDT,DUNWOD,61760,604.2045
2020-10-21 09:00:00,EDT,CENTRL,61754,1759.4946
2020-10-21 09:00:00,EDT,MHK VL,61756,876.8174
2020-10-21 09:00:00,EDT,LONGIL,61762,2110.2598
2020-10-21 10:00:00,EDT,GENESE,61753,1168.7375
2020-10-21 10:00:00,EDT,CAPITL,61757,1393.5322
2020-10-21 10:00:00,EDT,CENTRL,61754,1770.9214
2020-10-21 10:00:00,EDT,DUNWOD,61760,626.3887
2020-10-21 10:00:00,EDT,HUD VL,61758,958.9028
2020-10-21 10:00:00,EDT,LONGIL,61762,2123.9136
2020-10-21 10:00:00,EDT,MHK VL,61756,913.0823
2020-10-21 10:00:00,EDT,MILLWD,61759,343.8924
2020-10-21 10:00:00,EDT,N.Y.C.,61761,5507.4165
2020-10-21 10:00:00,EDT,NORTH,61755,579.7886
2020-10-21 10:00:00,EDT,WEST,61752,1666.6357
2020-10-21 11:00:00,EDT,MHK VL,61756,893.794
2020-10-21 11:00:00,EDT,NORTH,61755,570.2681
2020-10-21 11:00:00,EDT,N.Y.C.,61761,5595.708
2020-10-21 11:00:00,EDT,MILLWD,61759,338.3643
2020-10-21 11:00:00,EDT,WEST,61752,1685.7806
2020-10-21 11:00:00,EDT,CAPITL,61757,1377.7285
